"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual","month","round_trip","start_station_total_docks","end_station_total_docks","started_at_time","ended_at_time","trip_length","started_time_of_day","ended_time_of_day"
"E769B9D0F2AE40E2","classic_bike","2024-01-05 19:38:59","2024-01-05 19:42:43","One Kendall Square at Hampshire St / Portland St","M32002","Sennott Park Broadway at Norfolk Street","M32063","member",1,0,19,19,"2024-01-05 19:38:59","2024-01-05 19:42:43",3.73333333333333,"evening","evening"
"A160CB9CACFB69A6","classic_bike","2024-01-15 16:08:53","2024-01-15 16:13:50","Huron Ave At Vassal Lane","M32044","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","M32024","member",1,0,19,19,"2024-01-15 16:08:53","2024-01-15 16:13:50",4.95,"evening","evening"
"D9058180E227A149","classic_bike","2024-01-16 12:21:47","2024-01-16 12:29:05","MIT Pacific St at Purrington St","M32041","Ames St at Main St","M32037","member",1,0,19,19,"2024-01-16 12:21:47","2024-01-16 12:29:05",7.3,"afternoon","afternoon"
"4372C54A2F396B8F","electric_bike","2024-01-27 14:31:42","2024-01-27 14:35:46","Porter Square Station","M32029","Linear Park - Mass. Ave. at Cameron Ave. ","M32025","member",1,0,19,19,"2024-01-27 14:31:42","2024-01-27 14:35:46",4.06666666666667,"afternoon","afternoon"
"6E6E35756548AF1E","classic_bike","2024-01-10 19:29:36","2024-01-10 19:37:47","Gore Street at Lambert Street","M32081","Central Square at Mass Ave / Essex St","M32011","member",1,0,19,19,"2024-01-10 19:29:36","2024-01-10 19:37:47",8.18333333333333,"evening","evening"
"4457B6B25F81291D","classic_bike","2024-01-04 14:34:41","2024-01-04 15:01:19","Lower Cambridgeport at Magazine St / Riverside Rd","M32022","MIT Pacific St at Purrington St","M32041","member",1,0,19,19,"2024-01-04 14:34:41","2024-01-04 15:01:19",26.6333333333333,"afternoon","afternoon"
"0451C95E5971AB81","classic_bike","2024-01-27 17:54:26","2024-01-27 18:03:02","955 Mass Ave","M32073","Mass Ave at Albany St","M32061","member",1,0,19,18,"2024-01-27 17:54:26","2024-01-27 18:03:02",8.6,"evening","evening"
"97594F2613F3FA08","classic_bike","2024-01-01 20:23:31","2024-01-01 20:28:05","Harvard St at Greene-Rose Heritage Park","M32055","Central Square at Mass Ave / Essex St","M32011","member",1,0,19,19,"2024-01-01 20:23:31","2024-01-01 20:28:05",4.56666666666667,"evening","evening"
"9C3EAE0D63E7E148","classic_bike","2024-01-27 18:36:11","2024-01-27 18:45:06","Lower Cambridgeport at Magazine St / Riverside Rd","M32022","MIT Pacific St at Purrington St","M32041","member",1,0,19,19,"2024-01-27 18:36:11","2024-01-27 18:45:06",8.91666666666667,"evening","evening"
"919384460F058DF2","classic_bike","2024-01-09 13:56:12","2024-01-09 14:05:02","University Park","M32040","One Broadway / Kendall Sq at Main St / 3rd St","M32003","member",1,0,19,23,"2024-01-09 13:56:12","2024-01-09 14:05:02",8.83333333333333,"afternoon","afternoon"
"9C4D1C3B12DFC10F","classic_bike","2024-01-11 19:40:37","2024-01-11 19:45:36","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","M32012","Harvard Square at Mass Ave/ Dunster","M32018","member",1,0,17,19,"2024-01-11 19:40:37","2024-01-11 19:45:36",4.98333333333333,"evening","evening"
"10A038BC6110DA7F","classic_bike","2024-01-30 19:15:46","2024-01-30 19:25:05","359 Broadway - Broadway at Fayette Street","M32026","Broad Canal Way at Third Street","M32082","member",1,0,23,19,"2024-01-30 19:15:46","2024-01-30 19:25:05",9.31666666666667,"evening","evening"
"96F53DCFBE3A78BA","classic_bike","2024-01-05 15:30:30","2024-01-05 15:34:08","Raymond Park at Walden St","M32079","Porter Square Station","M32029","member",1,0,19,19,"2024-01-05 15:30:30","2024-01-05 15:34:08",3.63333333333333,"afternoon","afternoon"
"ED63F6E0137A921F","classic_bike","2024-01-03 21:14:14","2024-01-03 21:19:23","MIT at Mass Ave / Amherst St","M32006","Binney St / Sixth St","M32027","member",1,0,27,19,"2024-01-03 21:14:14","2024-01-03 21:19:23",5.15,"night","night"
"C24451E204FA7E8A","classic_bike","2024-01-10 21:26:26","2024-01-10 21:33:52","Kendall T","M32004","MIT Pacific St at Purrington St","M32041","member",1,0,23,19,"2024-01-10 21:26:26","2024-01-10 21:33:52",7.43333333333333,"night","night"
"E83E4DBF822D4AB7","classic_bike","2024-01-25 08:03:32","2024-01-25 08:15:44","Harvard Square at Brattle St / Eliot St","M32017","Mass Ave at Albany St","M32061","member",1,0,15,18,"2024-01-25 08:03:32","2024-01-25 08:15:44",12.2,"morning","morning"
